timestamp,ambient_temperature_c,solar_irradiance_wm2,wind_speed_ms,solar_generation_kw,wind_generation_kw,total_renewable_kw,heating_load_kw,critical_load_kw,important_load_kw,operational_load_kw,flexible_load_kw,total_load_kw,battery_charge_kw,battery_discharge_kw,battery_soc,diesel_generation_kw,curtailment_kw,fuel_burned_liters,fuel_remaining_liters,provenance_tier
2025-01-01 00:00:00,-3.98,10.79,6.48,0.36,4.1,4.46,17.94,29.5,15.98,6.16,0.0,69.58,0.0,40.0,0.3025,25.12,0.0,11.53,114988.5,SYNTHETIC
2025-01-01 01:00:00,-4.05,0.0,7.34,0.0,6.17,6.17,18.01,29.5,15.98,6.16,0.0,69.65,0.0,12.3,0.2,51.19,0.0,18.83,114969.6,SYNTHETIC
2025-01-01 02:00:00,-4.16,0.0,7.73,0.0,7.28,7.28,18.12,29.5,15.98,6.16,0.0,69.76,0.0,0.0,0.2,62.48,0.0,21.99,114947.6,SYNTHETIC
2025-01-01 03:00:00,-3.94,4.43,8.77,0.15,10.84,10.98,17.9,29.5,15.98,6.16,0.0,69.54,0.0,0.0,0.2,58.56,0.0,20.9,114926.7,SYNTHETIC
2025-01-01 04:00:00,-4.25,43.0,9.08,1.43,12.08,13.5,18.2,29.5,15.98,6.16,0.0,69.84,0.0,0.0,0.2,56.34,0.0,20.27,114906.5,SYNTHETIC
2025-01-01 05:00:00,-3.51,79.92,9.53,2.63,14.03,16.67,17.48,29.5,15.98,6.16,0.0,69.12,0.0,0.0,0.2,52.45,0.0,19.19,114887.3,SYNTHETIC
2025-01-01 06:00:00,-3.68,165.51,10.04,5.41,16.48,21.89,17.65,29.5,15.98,6.16,0.0,69.29,0.0,0.0,0.2,47.4,0.0,17.77,114869.5,SYNTHETIC
2025-01-01 07:00:00,-4.04,231.3,10.61,7.51,19.54,27.05,18.0,29.5,21.62,10.56,0.0,79.68,0.0,0.0,0.2,52.63,0.0,19.24,114850.3,SYNTHETIC
2025-01-01 08:00:00,-3.81,314.59,9.28,10.12,12.92,23.04,17.77,29.5,21.62,10.56,0.0,79.45,0.0,0.0,0.2,56.41,0.0,20.29,114830.0,SYNTHETIC
2025-01-01 09:00:00,-4.03,392.79,8.52,12.53,9.9,22.43,17.99,29.5,21.62,10.56,0.0,79.67,0.0,0.0,0.2,57.24,0.0,20.53,114809.5,SYNTHETIC
2025-01-01 10:00:00,-4.68,427.01,9.09,13.61,12.12,25.72,18.62,29.5,21.62,10.56,0.0,80.3,0.0,0.0,0.2,54.58,0.0,19.78,114789.7,SYNTHETIC
2025-01-01 11:00:00,-4.74,437.56,8.02,13.93,8.18,22.11,18.68,29.5,21.62,10.56,0.0,80.36,0.0,0.0,0.2,58.25,0.0,20.81,114768.9,SYNTHETIC
2025-01-01 12:00:00,-5.0,463.29,7.72,14.72,7.25,21.97,18.94,29.5,21.62,10.56,0.0,80.62,0.0,0.0,0.2,58.65,0.0,20.92,114747.9,SYNTHETIC
2025-01-01 13:00:00,-4.6,433.9,7.49,13.81,6.58,20.39,18.55,29.5,21.62,10.56,0.0,80.23,0.0,0.0,0.2,59.84,0.0,21.26,114726.7,SYNTHETIC
2025-01-01 14:00:00,-4.95,420.68,7.96,13.43,7.99,21.41,18.89,29.5,21.62,10.56,0.0,80.57,0.0,0.0,0.2,59.16,0.0,21.06,114705.6,SYNTHETIC
2025-01-01 15:00:00,-4.52,378.07,6.65,12.11,4.47,16.57,18.47,29.5,21.62,10.56,0.0,80.15,0.0,0.0,0.2,63.58,0.0,22.3,114683.3,SYNTHETIC
2025-01-01 16:00:00,-4.92,288.81,6.5,9.35,4.14,13.5,18.86,29.5,21.62,10.56,0.0,80.54,0.0,0.0,0.2,67.04,0.0,23.27,114660.0,SYNTHETIC
2025-01-01 17:00:00,-4.92,230.84,5.9,7.52,2.99,10.51,18.86,29.5,21.62,10.56,0.0,80.54,0.0,0.0,0.2,70.03,0.0,24.11,114635.9,SYNTHETIC
2025-01-01 18:00:00,-4.47,160.43,5.63,5.26,2.53,7.79,18.42,29.5,21.62,10.56,0.0,80.1,0.0,0.0,0.2,72.31,0.0,24.75,114611.2,SYNTHETIC
2025-01-01 19:00:00,-4.37,89.45,7.14,2.95,5.64,8.59,18.32,29.5,21.62,10.56,0.0,80.0,0.0,0.0,0.2,71.41,0.0,24.49,114586.7,SYNTHETIC
2025-01-01 20:00:00,-4.74,53.33,7.92,1.77,7.86,9.63,18.68,29.5,21.62,10.56,0.0,80.36,0.0,0.0,0.2,70.73,0.0,24.3,114562.4,SYNTHETIC
2025-01-01 21:00:00,-4.14,2.37,7.65,0.08,7.04,7.12,18.1,29.5,21.62,10.56,0.0,79.78,0.0,0.0,0.2,72.66,0.0,24.84,114537.6,SYNTHETIC
2025-01-01 22:00:00,-3.92,0.0,7.97,0.0,8.02,8.02,17.88,29.5,15.98,6.16,0.0,69.52,0.0,0.0,0.2,61.5,0.0,21.72,114515.8,SYNTHETIC
2025-01-01 23:00:00,-3.2,0.0,6.31,0.0,3.75,3.75,17.18,29.5,15.98,6.16,0.0,68.82,0.0,0.0,0.2,65.07,0.0,22.72,114493.1,SYNTHETIC
2025-01-02 00:00:00,-3.67,0.01,7.34,0.0,6.17,6.17,17.64,29.5,15.98,6.16,0.0,69.28,0.0,0.0,0.2,63.11,0.0,22.17,114470.9,SYNTHETIC
2025-01-02 01:00:00,-3.87,0.0,7.39,0.0,6.3,6.3,17.83,29.5,15.98,6.16,0.0,69.47,0.0,0.0,0.2,63.17,0.0,22.19,114448.8,SYNTHETIC
2025-01-02 02:00:00,-3.96,0.0,6.7,0.0,4.58,4.58,17.92,29.5,15.98,6.16,0.0,69.56,0.0,0.0,0.2,64.98,0.0,22.69,114426.1,SYNTHETIC
2025-01-02 03:00:00,-3.25,3.16,7.59,0.1,6.87,6.97,17.23,29.5,15.98,6.16,0.0,68.87,0.0,0.0,0.2,61.9,0.0,21.83,114404.2,SYNTHETIC
2025-01-02 04:00:00,-3.48,48.81,7.3,1.61,6.06,7.67,17.45,29.5,15.98,6.16,0.0,69.09,0.0,0.0,0.2,61.42,0.0,21.7,114382.5,SYNTHETIC
2025-01-02 05:00:00,-4.14,94.81,7.3,3.13,6.06,9.19,18.1,29.5,15.98,6.16,0.0,69.74,0.0,0.0,0.2,60.55,0.0,21.46,114361.1,SYNTHETIC
2025-01-02 06:00:00,-3.71,172.94,7.74,5.65,7.31,12.96,17.68,29.5,15.98,6.16,0.0,69.32,0.0,0.0,0.2,56.36,0.0,20.28,114340.8,SYNTHETIC
2025-01-02 07:00:00,-3.73,261.36,9.18,8.45,12.49,20.95,17.7,29.5,21.62,10.56,0.0,79.38,0.0,0.0,0.2,58.43,0.0,20.86,114319.9,SYNTHETIC
